sequence_number	US	source_a	source_c	source_b	source_d	source_e	source_m	source_o	source_h	source_r	source_s	source_t	source_u	source_p	source_x	source_w	Freq	last_update_days_ago	1st_update_days_ago	Web order	Gender=male	Address_is_res	Purchase	Spending
114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1130	1130	1	1	0	1	78.5
115	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1128	3791	1	0	1	1	403.61
116	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1521	1583	0	1	1	0	0.06
117	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1882	1914	0	1	1	0	0.06
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1529	1577	0	1	0	1	186
119	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2404	2404	0	0	0	1	113.5
120	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	667	667	0	1	0	1	324.45
121	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4157	4157	1	1	0	1	69
122	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3436	3517	1	1	0	1	224.66
123	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1154	1154	0	0	1	1	204.5
124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1263	1263	1	1	0	0	0
125	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1863	1863	0	1	1	1	166.5
126	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	731	2109	0	0	1	0	0.06
127	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1816	1816	1	0	0	0	0
128	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1302	1302	1	1	0	1	66.9
129	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	785	814	1	0	0	1	206
130	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3883	3883	0	1	0	1	67.48
131	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2960	3746	0	1	1	1	119.5
132	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	617	3548	0	0	0	1	356.29
133	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3009	3009	0	0	1	1	128.5
134	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2404	2404	0	1	0	0	0
135	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1968	1968	0	1	0	0	0.07
136	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1121	4065	1	1	0	1	420.18
137	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2879	2879	1	0	0	0	0
138	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2648	2648	1	1	0	1	129.5
139	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2891	2912	1	1	0	0	0
140	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1240	4157	1	1	1	1	140.9
141	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2856	2856	0	1	0	0	0.07
142	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2977	2977	0	0	0	0	0
143	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2960	3213	1	1	0	1	128.52
144	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3047	3047	0	1	1	0	0.07
145	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2765	2765	1	0	0	0	0
146	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1109	1109	0	0	0	1	20.5
147	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2268	3791	0	0	0	1	605.43
148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1147	1147	1	0	0	1	163.5
149	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2425	3914	0	0	0	1	129.5
150	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2296	2296	0	0	0	1	160.5
151	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3619	3619	0	0	0	0	0
152	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1016	1030	1	0	0	1	451
153	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	723	723	0	1	1	0	0.06
154	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	841	1232	0	1	1	0	0.06
155	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	890	890	0	1	0	0	0.07
156	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1242	1394	1	1	1	1	432
157	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3747	3747	1	1	0	0	0
158	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2060	3746	0	1	0	0	0
159	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3074	3145	1	0	0	1	162.97
160	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2024	2369	0	1	0	1	547.35
161	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3138	3138	1	0	1	0	0
162	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3334	3334	1	0	0	0	0.07
163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	90	90	0	1	0	0	0
164	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2632	2632	1	0	0	1	139.5
165	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3451	3451	1	0	0	0	0.07
166	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3543	3556	0	0	0	1	129.07
167	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	169	169	1	1	0	1	163
168	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3662	3704	0	1	1	1	309.84
169	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	582	1584	1	1	0	1	325.5
170	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	969	974	0	0	1	1	43.06
171	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1968	1968	1	1	0	0	0.07
172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	364	364	1	0	0	1	249
173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2185	2185	0	1	0	0	0
174	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	91	91	0	0	0	0	0
175	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3502	3502	0	1	0	0	0
176	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3485	3541	0	1	0	0	0
177	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2855	2855	0	1	0	0	0.07
178	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1890	1890	1	0	0	1	77.45
179	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3944	3944	1	1	0	1	67.9
180	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2347	3276	0	0	0	1	219.07
181	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3237	3237	0	1	1	0	0.07
182	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3772	3822	1	0	0	1	149.09
183	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3583	3622	1	0	0	1	140.07
184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	140	140	0	1	1	0	0.07
185	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2960	3188	0	1	1	1	128.5
186	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1598	1598	1	1	0	1	39.5
187	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1689	1800	0	0	1	1	108.24
188	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2675	2675	0	1	0	1	29.5
189	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1989	3255	0	1	0	1	129.69
190	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1569	1569	1	1	0	1	31.5
191	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1906	3521	1	0	0	1	50
192	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2408	2408	1	0	0	1	53.5
193	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1864	2487	0	1	0	1	242.95
194	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2947	2947	0	0	0	1	79.5
195	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2723	2842	1	1	0	1	236.95
196	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3660	3660	1	1	0	0	0.07
197	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2893	2893	0	1	0	0	0.07
198	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2466	4036	1	1	0	1	145.03
199	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1882	1914	0	0	1	0	0.06
200	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2502	2502	0	0	1	0	0.07
201	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2024	2068	1	1	0	1	437
202	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2080	2114	1	1	1	1	34.56
203	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1856	1891	0	0	1	0	0.06
204	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	583	594	0	0	0	1	412
205	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3369	3369	0	0	0	0	0
206	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	181	181	0	0	0	0	0
207	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	50	50	1	1	0	1	25
208	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3270	3270	1	0	0	1	152.52
209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1926	1926	0	1	0	1	62
210	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1567	1567	1	0	0	1	31.5
211	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2404	4036	1	0	0	1	187.35
212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	906	906	0	0	0	1	80
213	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1577	1589	1	0	0	1	276.5
214	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1037	1899	0	1	0	1	277.5
215	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2768	2768	0	0	0	0	0
216	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3522	3522	0	0	0	0	0.07
217	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	511	1815	1	0	0	1	268.06
218	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	833	833	0	0	0	0	0
219	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	191	2024	1	1	0	1	363.07
220	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	182	182	1	1	0	1	1075
221	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2201	2558	0	0	0	1	164
222	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1962	2767	1	1	1	0	0.06
223	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3236	3236	1	1	0	1	128.21
224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	583	1060	1	0	0	1	69
225	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3453	3453	1	0	0	0	0.07
226	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3746	3746	0	1	0	0	0
227	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2081	2081	1	0	1	1	129.5
228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2541	2541	0	0	0	1	174
229	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2205	3390	0	0	0	1	36.32
230	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3263	3263	0	0	0	0	0
231	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2918	2992	1	1	0	0	0.07
232	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2996	2996	1	0	0	1	183.5
233	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1701	1701	0	0	0	1	110
234	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3883	3883	1	1	0	1	33
235	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2802	2834	1	0	0	1	129.57
236	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1946	1946	1	0	0	1	129.5
237	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2562	2562	1	1	0	1	34.5
238	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2705	2705	0	1	0	1	129.5
239	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2333	2333	1	1	1	1	160.5
240	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2933	2936	1	1	0	1	54.29
241	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	290	290	1	1	0	1	163
242	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3745	3745	0	1	0	0	0
243	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3517	3747	0	0	0	0	0
244	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	890	890	0	1	0	0	0.07
245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	42	42	0	0	1	0	0.06
246	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	772	772	0	0	0	1	80
247	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2194	2506	0	0	1	1	160.56
248	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1141	2915	0	1	0	1	208
249	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3011	3011	0	1	0	1	79.5
250	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2080	2109	1	0	1	1	34.56
251	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3507	3507	0	0	0	0	0
252	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1968	1968	1	1	0	0	0.07
253	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	962	2905	0	0	0	1	140.5
254	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2212	2212	0	0	0	0	0.07
255	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2648	2648	1	1	0	1	129.5
256	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1415	1436	0	1	1	0	0.06
257	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1758	2794	1	1	0	1	166.57
258	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2383	2383	0	1	0	0	0
259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	814	814	1	1	0	1	172
260	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	58	58	1	0	0	1	99
